geo,geography_level,component,gender,age_group,period,start_year,end_year,value
Nova Scotia,province,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,470.0
Nova Scotia,province,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,371.0
Nova Scotia,province,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
Nova Scotia,province,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
"Cape Breton, Nova Scotia",economic_region,births,Men+,All ages,2024 / 2025,2024,2025,514.0
"Cape Breton, Nova Scotia",economic_region,births,Women+,All ages,2024 / 2025,2024,2025,489.0
"Cape Breton, Nova Scotia",economic_region,deaths,Men+,All ages,2024 / 2025,2024,2025,1030.0
"Cape Breton, Nova Scotia",economic_region,deaths,Women+,All ages,2024 / 2025,2024,2025,974.0
"Cape Breton, Nova Scotia",economic_region,immigrants,Men+,All ages,2024 / 2025,2024,2025,326.0
"Cape Breton, Nova Scotia",economic_region,immigrants,Women+,All ages,2024 / 2025,2024,2025,307.0
"Cape Breton, Nova Scotia",economic_region,emigrants,Men+,All ages,2024 / 2025,2024,2025,40.0
"Cape Breton, Nova Scotia",economic_region,emigrants,Women+,All ages,2024 / 2025,2024,2025,13.0
"Cape Breton, Nova Scotia",economic_region,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,12.0
"Cape Breton, Nova Scotia",economic_region,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,10.0
"Cape Breton, Nova Scotia",economic_region,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
"Cape Breton, Nova Scotia",economic_region,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
"Cape Breton, Nova Scotia",economic_region,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,28.0
"Cape Breton, Nova Scotia",economic_region,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,40.0
"Cape Breton, Nova Scotia",economic_region,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,-704.0
"Cape Breton, Nova Scotia",economic_region,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,-514.0
"Cape Breton, Nova Scotia",economic_region,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,845.0
"Cape Breton, Nova Scotia",economic_region,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,611.0
"Cape Breton, Nova Scotia",economic_region,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
"Cape Breton, Nova Scotia",economic_region,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
"North Shore, Nova Scotia",economic_region,births,Men+,All ages,2024 / 2025,2024,2025,578.0
"North Shore, Nova Scotia",economic_region,births,Women+,All ages,2024 / 2025,2024,2025,558.0
"North Shore, Nova Scotia",economic_region,deaths,Men+,All ages,2024 / 2025,2024,2025,1119.0
"North Shore, Nova Scotia",economic_region,deaths,Women+,All ages,2024 / 2025,2024,2025,1021.0
"North Shore, Nova Scotia",economic_region,immigrants,Men+,All ages,2024 / 2025,2024,2025,468.0
"North Shore, Nova Scotia",economic_region,immigrants,Women+,All ages,2024 / 2025,2024,2025,439.0
"North Shore, Nova Scotia",economic_region,emigrants,Men+,All ages,2024 / 2025,2024,2025,102.0
"North Shore, Nova Scotia",economic_region,emigrants,Women+,All ages,2024 / 2025,2024,2025,79.0
"North Shore, Nova Scotia",economic_region,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,24.0
"North Shore, Nova Scotia",economic_region,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,17.0
"North Shore, Nova Scotia",economic_region,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
"North Shore, Nova Scotia",economic_region,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
"North Shore, Nova Scotia",economic_region,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,349.0
"North Shore, Nova Scotia",economic_region,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,518.0
"North Shore, Nova Scotia",economic_region,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,209.0
"North Shore, Nova Scotia",economic_region,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,263.0
"North Shore, Nova Scotia",economic_region,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,-28.0
"North Shore, Nova Scotia",economic_region,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,-72.0
"North Shore, Nova Scotia",economic_region,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
"North Shore, Nova Scotia",economic_region,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
"Annapolis Valley, Nova Scotia",economic_region,births,Men+,All ages,2024 / 2025,2024,2025,556.0
"Annapolis Valley, Nova Scotia",economic_region,births,Women+,All ages,2024 / 2025,2024,2025,527.0
"Annapolis Valley, Nova Scotia",economic_region,deaths,Men+,All ages,2024 / 2025,2024,2025,814.0
"Annapolis Valley, Nova Scotia",economic_region,deaths,Women+,All ages,2024 / 2025,2024,2025,784.0
"Annapolis Valley, Nova Scotia",economic_region,immigrants,Men+,All ages,2024 / 2025,2024,2025,333.0
"Annapolis Valley, Nova Scotia",economic_region,immigrants,Women+,All ages,2024 / 2025,2024,2025,332.0
"Annapolis Valley, Nova Scotia",economic_region,emigrants,Men+,All ages,2024 / 2025,2024,2025,146.0
"Annapolis Valley, Nova Scotia",economic_region,emigrants,Women+,All ages,2024 / 2025,2024,2025,139.0
"Annapolis Valley, Nova Scotia",economic_region,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,37.0
"Annapolis Valley, Nova Scotia",economic_region,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,37.0
"Annapolis Valley, Nova Scotia",economic_region,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
"Annapolis Valley, Nova Scotia",economic_region,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
"Annapolis Valley, Nova Scotia",economic_region,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,311.0
"Annapolis Valley, Nova Scotia",economic_region,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,350.0
"Annapolis Valley, Nova Scotia",economic_region,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,309.0
"Annapolis Valley, Nova Scotia",economic_region,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,218.0
"Annapolis Valley, Nova Scotia",economic_region,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,348.0
"Annapolis Valley, Nova Scotia",economic_region,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,111.0
"Annapolis Valley, Nova Scotia",economic_region,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
"Annapolis Valley, Nova Scotia",economic_region,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
"Southern, Nova Scotia",economic_region,births,Men+,All ages,2024 / 2025,2024,2025,384.0
"Southern, Nova Scotia",economic_region,births,Women+,All ages,2024 / 2025,2024,2025,346.0
"Southern, Nova Scotia",economic_region,deaths,Men+,All ages,2024 / 2025,2024,2025,895.0
"Southern, Nova Scotia",economic_region,deaths,Women+,All ages,2024 / 2025,2024,2025,821.0
"Southern, Nova Scotia",economic_region,immigrants,Men+,All ages,2024 / 2025,2024,2025,343.0
"Southern, Nova Scotia",economic_region,immigrants,Women+,All ages,2024 / 2025,2024,2025,294.0
"Southern, Nova Scotia",economic_region,emigrants,Men+,All ages,2024 / 2025,2024,2025,88.0
"Southern, Nova Scotia",economic_region,emigrants,Women+,All ages,2024 / 2025,2024,2025,99.0
"Southern, Nova Scotia",economic_region,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,25.0
"Southern, Nova Scotia",economic_region,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,24.0
"Southern, Nova Scotia",economic_region,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
"Southern, Nova Scotia",economic_region,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
"Southern, Nova Scotia",economic_region,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,307.0
