geo,gender,age_group,stage,population_pred,year,operator
Prince Edward Island,Men+,5 to 9 years,after_aging,4116.400000000001,2022,fixed20
Prince Edward Island,Men+,10 to 14 years,after_aging,4430.8,2022,fixed20
Prince Edward Island,Men+,15 to 19 years,after_aging,4453.200000000001,2022,fixed20
Prince Edward Island,Men+,20 to 24 years,after_aging,5895.800000000001,2022,fixed20
Prince Edward Island,Men+,25 to 29 years,after_aging,5592.400000000001,2022,fixed20
Prince Edward Island,Men+,30 to 34 years,after_aging,4864.400000000001,2022,fixed20
Prince Edward Island,Men+,35 to 39 years,after_aging,4648.0,2022,fixed20
Prince Edward Island,Men+,40 to 44 years,after_aging,4655.400000000001,2022,fixed20
Prince Edward Island,Men+,45 to 49 years,after_aging,4838.0,2022,fixed20
Prince Edward Island,Men+,50 to 54 years,after_aging,5023.6,2022,fixed20
Prince Edward Island,Men+,55 to 59 years,after_aging,5646.200000000001,2022,fixed20
Prince Edward Island,Men+,60 to 64 years,after_aging,5633.000000000001,2022,fixed20
Prince Edward Island,Men+,65 to 69 years,after_aging,5199.400000000001,2022,fixed20
Prince Edward Island,Men+,70 to 74 years,after_aging,4579.400000000001,2022,fixed20
Prince Edward Island,Men+,75 to 79 years,after_aging,3105.0000000000005,2022,fixed20
Prince Edward Island,Men+,80 to 84 years,after_aging,1859.4,2022,fixed20
Prince Edward Island,Men+,85 to 89 years,after_aging,1036.8000000000002,2022,fixed20
Prince Edward Island,Men+,90 to 94 years,after_aging,430.40000000000003,2022,fixed20
Prince Edward Island,Men+,95 to 99 years,after_aging,129.60000000000002,2022,fixed20
Prince Edward Island,Men+,100 years and older,after_aging,26.6,2022,fixed20
Prince Edward Island,Women+,-1 year,after_aging,0.0,2022,fixed20
Prince Edward Island,Women+,0 to 4 years,after_aging,2798.4,2022,fixed20
Prince Edward Island,Women+,5 to 9 years,after_aging,3906.0,2022,fixed20
Prince Edward Island,Women+,10 to 14 years,after_aging,4325.6,2022,fixed20
Prince Edward Island,Women+,15 to 19 years,after_aging,4470.6,2022,fixed20
Prince Edward Island,Women+,20 to 24 years,after_aging,5619.800000000001,2022,fixed20
Prince Edward Island,Women+,25 to 29 years,after_aging,5208.6,2022,fixed20
Prince Edward Island,Women+,30 to 34 years,after_aging,5064.6,2022,fixed20
Prince Edward Island,Women+,35 to 39 years,after_aging,5033.6,2022,fixed20
Prince Edward Island,Women+,40 to 44 years,after_aging,5032.0,2022,fixed20
Prince Edward Island,Women+,45 to 49 years,after_aging,5108.400000000001,2022,fixed20
Prince Edward Island,Women+,50 to 54 years,after_aging,5284.6,2022,fixed20
Prince Edward Island,Women+,55 to 59 years,after_aging,5928.0,2022,fixed20
Prince Edward Island,Women+,60 to 64 years,after_aging,6045.400000000001,2022,fixed20
Prince Edward Island,Women+,65 to 69 years,after_aging,5630.6,2022,fixed20
Prince Edward Island,Women+,70 to 74 years,after_aging,4948.2,2022,fixed20
Prince Edward Island,Women+,75 to 79 years,after_aging,3509.4,2022,fixed20
Prince Edward Island,Women+,80 to 84 years,after_aging,2375.6000000000004,2022,fixed20
Prince Edward Island,Women+,85 to 89 years,after_aging,1560.2000000000003,2022,fixed20
Prince Edward Island,Women+,90 to 94 years,after_aging,819.0,2022,fixed20
Prince Edward Island,Women+,95 to 99 years,after_aging,323.20000000000005,2022,fixed20
Prince Edward Island,Women+,100 years and older,after_aging,86.2,2022,fixed20
