alpha_source_65_69,alpha_target_70_74,rmse,mae,max_abs_error,median_abs_error
0.135,0.14,8563.81709920367,8248.479416999055,11196.863582906604,7971.199624734698
0.16,0.135,8612.026966260853,8391.418916334302,10594.23995664413,8699.7353752653
0.225,0.215,8637.45420476361,8439.945583000954,10398.16495664412,8938.480375265353
0.22,0.245,8640.709127878443,8363.744416999049,11245.488582906546,7837.2646247347
0.155,0.165,8713.823007982866,8412.271083665759,11348.398582906637,8076.009624734754
0.24,0.27,8792.991784288006,8527.536083665715,11397.023582906579,7942.074624734698
0.205,0.19,8803.045003670624,8603.737249667602,10633.194956644089,9043.290375265293
0.27,0.27,8831.718627932429,8652.263916334292,10437.119956644136,9282.035375265288
0.175,0.19,8864.644244550283,8576.062750332387,11499.933582906553,8180.819624734693
0.185,0.165,8968.893220239757,8767.528916334268,10868.224956644117,9148.10037526529
0.25,0.245,8996.835780673906,8816.05558300096,10672.149956644105,9386.845375265344
0.195,0.215,9016.239893246844,8739.854416999035,11651.468582906527,8285.62962473469
0.13,0.135,9089.820723809236,8788.381083665727,11754.37858290656,8524.374624734744
0.165,0.14,9134.984834011768,8931.320583000934,11103.254956644145,9252.910375265288
0.23,0.22,9162.222015865465,8979.847249667626,10907.179956644133,9491.655375265284
0.215,0.24,9168.571541132442,8903.6460836657,11803.00358290656,8390.439624734689
0.15,0.16,9240.74233843326,8952.172750332393,11905.913582906593,8629.184624734684
0.235,0.265,9321.603105652062,9067.437750332407,11954.538582906593,8495.249624734744
0.21,0.195,9327.863020743525,9143.638916334234,11142.209956644103,9596.465375265281
0.275,0.275,9358.121542204597,9192.165583000984,10946.13495664415,9835.210375265335
0.17,0.185,9392.404122576088,9115.964416999079,12057.448582906567,8733.99462473474
0.19,0.17,9493.745460125338,9307.43058300092,11377.23995664413,9701.275375265279
0.255,0.25,9523.285620446426,9355.957249667592,11181.16495664412,9940.020375265274
0.19,0.21,9544.770793497593,9279.756083665707,12208.983582906541,8838.80462473468
0.125,0.13,9617.414733566413,9328.282750332379,12311.893582906574,9077.549624734675
0.17,0.145,9659.856896025753,9471.222249667606,11612.2699566441,9806.085375265335
0.235,0.225,9688.702559201643,9519.74891633426,11416.194956644089,10044.830375265272
0.21,0.235,9697.809126868611,9443.547750332393,12360.518582906574,8943.614624734677
0.145,0.155,9769.128640786008,9492.074416999085,12463.428582906607,9182.35962473473
0.15,0.12,9826.185714909512,9635.013916334274,11847.29995664407,9910.895375265332
0.23,0.26,9851.48782083688,9607.339416999059,12512.053582906607,9048.424624734675
0.215,0.2,9854.359624801124,9683.540583000984,11651.224956644117,10149.640375265386
0.28,0.28,9886.02910972992,9732.067249667598,11455.149956644047,10388.385375265323
0.165,0.18,9921.519072459541,9655.866083665673,12614.963582906523,9287.16962473467
0.195,0.175,10020.244907749924,9847.332249667592,11886.254956644087,10254.450375265267
0.26,0.255,10051.210466249308,9895.858916334264,11690.179956644075,10493.19537526532
0.185,0.205,10074.555328761822,9819.657750332359,12766.498582906555,9391.979624734668
0.12,0.125,10146.351039063231,9868.18441699907,12869.408582906588,9630.724624734721
0.175,0.15,10186.34725845417,10011.12391633424,12121.284956644056,10359.260375265265
0.24,0.23,10216.631058103363,10059.65058300095,11925.209956644103,10598.005375265318
0.205,0.23,10228.208420908231,9983.449416999045,12918.033582906588,9496.789624734665
0.14,0.15,10298.756124852496,10031.976083665717,13020.943582906562,9735.53462473466
0.155,0.125,10352.656228741322,10174.915583000946,12356.314956644084,10464.07037526532
0.22,0.205,10382.279450107038,10223.442249667636,12160.23995664413,10702.815375265316
0.225,0.255,10382.45096270347,10147.241083665713,13069.568582906504,9601.599624734721
0.16,0.175,10451.783297247644,10195.767750332403,13172.478582906537,9840.344624734716
0.245,0.28,10537.25706939416,10311.032750332399,13221.103582906595,9706.40962473466
0.2,0.18,10548.144910124127,10387.233916334322,12395.269956644159,10807.625375265314
0.265,0.26,10580.389527287134,10435.760583000918,12199.194956644089,11046.370375265251
0.18,0.2,10605.4056277076,10359.55941699903,13324.01358290657,9945.154624734656
0.18,0.155,10714.21735695093,10551.025583000932,12630.29995664407,10912.435375265311
0.245,0.235,10745.794105517454,10599.552249667622,12434.224956644117,11151.180375265307
0.2,0.225,10759.597623793841,10523.351083665717,13475.548582906544,10049.964624734712
0.135,0.145,10829.442687516259,10571.877750332409,13578.458582906576,10288.709624734707
0.16,0.13,10880.487312669007,10714.817249667618,12865.329956644098,11017.24537526531
0.225,0.21,10911.415922297623,10763.343916334328,12669.254956644145,11255.990375265363
0.22,0.25,10914.335141722504,10687.142750332423,13627.083582906635,10154.77462473471
0.155,0.17,10983.030336119487,10735.669416999095,13729.993582906609,10393.519624734763
0.24,0.275,11069.595304611437,10850.93441699905,13778.61858290655,10259.584624734707
0.205,0.185,11077.245233482645,10927.135583000918,12904.284956644056,11360.800375265302
0.27,0.265,11110.6435972659,10975.662249667608,12708.209956644103,11599.545375265297
0.175,0.195,11137.169293325487,10899.461083665761,13881.528582906642,10498.329624734703
0.185,0.16,11243.272857945321,11090.927249667604,13139.314956644084,11465.6103752653
0.25,0.24,11276.017897422633,11139.453916334314,12943.23995664413,11704.355375265353
0.195,0.22,11291.836982281133,11063.25275033237,14033.063582906558,10603.1396247347
0.13,0.14,11361.039917598271,11111.779416999061,14135.97358290659,10841.884624734754
0.165,0.135,11409.490138295225,11254.71891633429,13374.344956644112,11570.420375265297
0.23,0.215,11441.600244837851,11303.245583000942,13178.2699566441,11809.165375265293
0.215,0.245,11447.011970937345,11227.044416999037,14184.598582906532,10707.949624734698
0.15,0.165,11515.124164318237,11275.571083665729,14287.508582906623,10946.694624734693
0.235,0.27,11602.673905324787,11390.836083665743,14336.133582906565,10812.759624734696
0.21,0.19,11607.38173596884,11467.037249667628,13413.299956644129,11913.975375265349
0.275,0.27,11641.825785754323,11515.5639163343,13217.224956644117,12152.720375265344
0.17,0.19,11669.721465922787,11439.362750332357,14439.043582906539,11051.504624734633
0.19,0.165,11773.353958345133,11630.828916334256,13648.329956644098,12018.785375265288
0.255,0.245,11807.159530211557,11679.355583000928,13452.254956644087,12257.530375265284
0.19,0.215,11824.811699427793,11603.154416999061,14590.578582906572,11156.314624734689
0.125,0.135,11893.42570415996,11651.681083665715,14693.488582906546,11395.059624734684
0.17,0.14,11939.50895785126,11794.620583000942,13883.359956644126,12123.595375265344
0.235,0.22,11972.693213309545,11843.147249667614,13687.284956644173,12362.340375265281
0.21,0.24,11980.375721311013,11766.946083665709,14742.113582906546,11261.124624734686
0.145,0.16,12047.952587857457,11815.472750332401,14845.023582906579,11499.86962473474
0.23,0.265,12136.395312562247,11930.737750332375,14893.648582906579,11365.934624734684
0.215,0.195,12138.418655259,12006.938916334242,13922.314956644084,12467.150375265279
0.28,0.275,12173.814603085279,12055.465583000972,13726.23995664413,12705.895375265332
0.165,0.185,12202.95891168609,11979.264416999067,14996.558582906611,11604.67962473468
0.195,0.17,12304.328107735197,12170.730583000928,14157.344956644112,12571.960375265277
0.26,0.25,12339.10047794358,12219.25724966762,13961.2699566441,12810.70537526533
0.185,0.21,12358.426635437281,12143.056083665695,15148.093582906527,11709.489624734677
0.12,0.13,12426.498695752362,12191.582750332387,15251.00358290656,11948.23462473473
0.175,0.145,12470.41422637653,12334.522249667576,14392.374956644082,12676.770375265274
0.24,0.225,12504.579052548415,12383.048916334266,14196.299956644129,12915.51537526527
0.205,0.235,12514.338562977424,12306.847750332381,15299.62858290656,11814.299624734675
