operator,stage,geo,year,P1_0_14,P2_15_64,P3_65plus,P_tot
real_single_age,after_deaths,New Brunswick,2025,118855.30096795202,534783.7324817801,202383.9665502679,856023.0
real_single_age,after_deaths,Newfoundland and Labrador,2023,66848.53475058249,331227.06999856397,130215.39525085354,528291.0
real_single_age,after_deaths,Newfoundland and Labrador,2024,66686.73045463415,334941.9650058149,134253.30453955094,535882.0
real_single_age,after_deaths,Newfoundland and Labrador,2025,66593.74238886891,339295.16829583567,138051.08931529542,543940.0
real_single_age,after_deaths,Nova Scotia,2023,139703.75446181913,649678.1929701498,231401.05256803104,1020783.0
real_single_age,after_deaths,Nova Scotia,2024,142113.89528155717,668768.8478900623,238993.25682838054,1049876.0
real_single_age,after_deaths,Nova Scotia,2025,143994.0170079303,689376.723262794,246071.2597292757,1079442.0
real_single_age,after_deaths,Ontario,2023,2290577.7539751395,10020225.777450576,2857001.4685742836,15167805.0
real_single_age,after_deaths,Ontario,2024,2312677.589355114,10380922.638553753,2958581.772091133,15652182.000000002
real_single_age,after_deaths,Ontario,2025,2345425.689679332,10754718.070781,3064989.2395396675,16165133.0
real_single_age,after_deaths,Prince Edward Island,2023,24173.811506802936,107190.58222555254,35461.60626764452,166826.0
real_single_age,after_deaths,Prince Edward Island,2024,24475.608643621083,112268.53533760476,36780.85601877416,173525.0
real_single_age,after_deaths,Prince Edward Island,2025,24801.00959958244,116745.11444479425,37917.875955623305,179464.0
real_single_age,after_deaths,Quebec,2023,1356827.074288025,5472089.302371435,1841860.62334054,8670777.0
real_single_age,after_deaths,Quebec,2024,1361376.4896139712,5558721.674267162,1900238.8361188667,8820337.0
real_single_age,after_deaths,Quebec,2025,1363980.799913479,5670730.784902707,1958233.415183814,8992945.0
real_single_age,after_deaths,Saskatchewan,2023,224737.04817189436,745267.0382775032,210781.91355060233,1180786.0
real_single_age,after_deaths,Saskatchewan,2024,227849.83577496116,766628.5736459487,217838.59057909023,1212317.0
real_single_age,after_deaths,Saskatchewan,2025,230624.06967749825,794505.5073012155,224713.4230212862,1249843.0
real_single_age,after_deaths,Yukon,2023,7060.221970653443,30118.62877323562,6792.149256110934,43971.0
real_single_age,after_deaths,Yukon,2024,7177.066839708368,31195.63093640163,7136.302223889999,45509.0
real_single_age,after_deaths,Yukon,2025,7337.412901951657,32918.55773328994,7444.029364758401,47700.0
real_single_age,after_international,Alberta,2023,838222.9920603012,3109583.514894459,701361.49304524,4649168.0
real_single_age,after_international,Alberta,2024,861392.4288612868,3259727.6387575683,739515.932381145,4860636.0
real_single_age,after_international,Alberta,2025,873944.2881073798,3351195.9741592067,776067.7377334132,5001208.0
real_single_age,after_international,British Columbia,2023,751317.9489715069,3670187.3761815093,1090402.6748469835,5511908.0
real_single_age,after_international,British Columbia,2024,757381.5408846287,3788351.6167961326,1129507.8423192385,5675241.0
real_single_age,after_international,British Columbia,2025,750475.6363773155,3782540.090940484,1166912.2726822004,5699927.999999999
real_single_age,after_international,Manitoba,2023,266675.3155307278,952197.275299177,244257.4091700951,1463130.0
real_single_age,after_international,Manitoba,2024,269274.1031337946,979127.5417048674,252141.355161338,1500543.0
real_single_age,after_international,Manitoba,2025,268255.5160333952,985629.9829050172,259863.50106158762,1513749.0
real_single_age,after_international,New Brunswick,2023,116913.27708302475,519048.2818778637,190090.44103911152,826052.0
real_single_age,after_international,New Brunswick,2024,121035.39642302113,535191.8928498885,196646.7107270903,852874.0
real_single_age,after_international,New Brunswick,2025,122608.30096795202,544867.7324817801,202391.9665502679,869868.0
real_single_age,after_international,Newfoundland and Labrador,2023,68760.53475058249,338684.06999856397,130284.39525085354,537729.0
real_single_age,after_international,Newfoundland and Labrador,2024,68754.73045463415,342635.9650058149,134387.30453955094,545778.0
real_single_age,after_international,Newfoundland and Labrador,2025,68354.74238886891,343410.16829583567,138081.08931529542,549846.0
real_single_age,after_international,Nova Scotia,2023,143812.75446181913,670624.1929701498,231579.05256803104,1046016.0
real_single_age,after_international,Nova Scotia,2024,146672.89528155717,688054.8478900623,239200.25682838054,1073928.0
real_single_age,after_international,Nova Scotia,2025,146352.0170079303,697505.723262794,246161.2597292757,1090019.0
real_single_age,after_international,Ontario,2023,2348012.7539751395,10447057.777450576,2867140.4685742836,15662211.0
real_single_age,after_international,Ontario,2024,2380457.589355114,10836576.638553753,2970451.772091133,16187486.000000002
